年份,中国,美国,日本
1961,-27.27,2.3,12.04
1962,-5.58,6.1,8.91
1963,10.3,4.4,8.47
1964,18.18,5.8,11.68
1965,16.95,6.4,5.82
1966,10.65,6.5,10.64
1967,-5.77,2.5,11.08
1968,-4.1,4.8,12.88
1969,16.94,3.1,12.48
1970,19.3,0.22,0.4
1971,7.06,3.29,4.7
1972,3.81,5.26,8.41
1973,7.76,5.65,8.03
1974,2.31,-0.54,-1.23
1975,8.72,-0.21,3.09
1976,-1.57,5.39,3.97
1977,7.57,4.62,4.39
1978,11.33,5.54,5.27
1979,7.59,3.17,5.48
1980,7.83,-0.26,2.82
1981,5.11,2.54,4.26
1982,9.06,-1.8,3.28
1983,10.73,4.58,3.63
1984,15.23,7.24,4.41
1985,13.44,4.17,5.16
1986,8.94,3.46,3.29
1987,11.63,3.45,4.65
1988,11.22,4.18,6.66
1989,4.21,3.67,4.93
1990,3.94,1.89,4.84
1991,9.36,-0.11,3.52
1992,14.3,3.52,0.9
1993,13.93,2.75,-0.46
1994,13.07,4.03,1.08
1995,11.03,2.68,2.63
1996,9.98,3.77,3.13
1997,9.29,4.45,0.98
1998,7.92,4.48,-1.27
1999,7.74,4.79,-0.33
2000,8.59,4.08,2.76
2001,8.31,0.96,0.39
2002,9.24,1.7,0.04
2003,10.12,2.8,1.54
2004,10.13,3.85,2.19
2005,11.46,3.48,1.8
2006,12.67,2.78,1.37
2007,14.15,2.0,1.48
2008,9.67,0.11,-1.22
2009,9.4,-2.58,-5.69
2010,10.6,2.7,4.1
2011,9.46,1.56,0.02
2012,7.86,2.29,1.37
2013,7.78,2.12,2.01
2014,7.46,2.52,0.3
2015,6.98,2.95,1.56
2016,6.78,1.82,0.75
2017,6.89,2.46,1.68
2018,6.76,2.97,0.64
2019,6.07,2.58,-0.4
2020,2.34,-2.16,-4.17
2021,8.57,6.06,2.7
2022,3.13,2.51,0.94
2023,5.41,2.89,1.48
2024,4.98,2.79,0.1
