年份,中国,美国,日本
1960,,1.46,3.57
1961,,1.07,5.37
1962,,1.2,6.84
1963,,1.24,6.71
1964,,1.28,3.8
1965,,1.59,6.66
1966,,3.02,5.04
1967,,2.77,3.99
1968,,4.27,5.34
1969,,5.46,5.25
1970,,5.84,6.92
1971,,4.29,6.4
1972,,3.27,4.84
1973,,6.18,11.61
1974,,11.05,23.22
1975,,9.14,11.73
1976,,5.74,9.37
1977,,6.5,8.16
1978,,7.63,4.21
1979,,11.25,3.7
1980,,13.55,7.78
1981,,10.33,4.91
1982,,6.13,2.74
1983,,3.21,1.9
1984,,4.3,2.26
1985,,3.55,2.03
1986,,1.9,0.6
1987,7.23,3.66,0.13
1988,18.81,4.08,0.68
1989,18.25,4.83,2.27
1990,3.05,5.4,3.08
1991,3.56,4.23,3.25
1992,6.35,3.03,1.76
1993,14.61,2.95,1.24
1994,24.26,2.61,0.7
1995,16.79,2.81,-0.13
1996,8.31,2.93,0.14
1997,2.79,2.34,1.75
1998,-0.77,1.55,0.66
1999,-1.4,2.19,-0.34
2000,0.35,3.38,-0.68
2001,0.72,2.83,-0.74
2002,-0.73,1.59,-0.92
2003,1.13,2.27,-0.26
2004,3.82,2.68,-0.01
2005,1.78,3.39,-0.28
2006,1.65,3.23,0.25
2007,4.82,2.85,0.06
2008,5.93,3.84,1.38
2009,-0.73,-0.36,-1.35
2010,3.18,1.64,-0.73
2011,5.55,3.16,-0.27
2012,2.62,2.07,-0.04
2013,2.62,1.46,0.34
2014,1.92,1.62,2.76
2015,1.44,0.12,0.8
2016,2.0,1.26,-0.13
2017,1.59,2.13,0.48
2018,2.07,2.44,0.99
2019,2.9,1.81,0.47
2020,2.42,1.23,-0.02
2021,0.98,4.7,-0.23
2022,1.97,8.0,2.5
2023,0.23,4.12,3.27
2024,0.22,2.95,2.74
